Ano,País-sede,Campeão,Vice-campeão,Terceiro lugar,Quarto lugar
1930,Uruguai,Uruguai,Argentina,Estados Unidos,Iugoslávia
1934,Itália,Itália,Tchecoslováquia,Alemanha,Áustria
1938,França,Itália,Hungria,Brasil,Suécia
1950,Brasil,Uruguai,Brasil,Suécia,Espanha
1954,Suíça,Alemanha Ocidental,Hungria,Áustria,Uruguai
1958,Suécia,Brasil,Suécia,França,Alemanha Ocidental
1962,Chile,Brasil,Tchecoslováquia,Chile,Iugoslávia
1966,Inglaterra,Inglaterra,Alemanha Ocidental,Portugal,União Soviética
1970,México,Brasil,Itália,Alemanha Ocidental,Uruguai
1974,Alemanha Ocidental,Alemanha Ocidental,Países Baixos,Polônia,Brasil
1978,Argentina,Argentina,Países Baixos,Brasil,Itália
1982,Espanha,Itália,Alemanha Ocidental,Polônia,França
1986,México,Argentina,Alemanha Ocidental,França,Bélgica
1990,Itália,Alemanha Ocidental,Argentina,Itália,Inglaterra
1994,Estados Unidos,Brasil,Itália,Suécia,Bulgária
1998,França,França,Brasil,Croácia,Países Baixos
2002,Coreia do SulJapão,Brasil,Alemanha,Turquia,Coreia do Sul
2006,Alemanha,Itália,França,Alemanha,Portugal
2010,África do Sul,Espanha,Países Baixos,Alemanha,Uruguai
2014,Brasil,Alemanha,Argentina,Países Baixos,Brasil
2018,Rússia,França,Croácia,Bélgica,Inglaterra
2022,Catar,Argentina,França,Croácia,Marrocos
2026,CanadáEstados UnidosMéxico,A definir,A definir,A definir,A definir
2030,EspanhaMarrocosPortugal,A definir,A definir,A definir,A definir
2034,Arábia Saudita,A definir,A definir,A definir,A definir
