Seleção,Títulos,Vices,3º lugar,4º lugar
Brasil,"5(1958,1962,1970,1994e2002)",2 (1950e1998),2 (1938e1978),2 (1974e2014)
Alemanha,"4(1954,1974,1990e2014)","4 (1966,1982,1986e2002)","4 (1934,1970,2006e2010)",1 (1958)
Itália,"4(1934,1938,1982e2006)",2 (1970e1994),1 (1990),1 (1978)
Argentina,"3(1978,1986e2022)","3 (1930,1990e2014)",–,–
França,2(1998e2018),2 (2006e2022),2 (1958e1986),1 (1982)
Uruguai,2(1930e1950),–,–,"3 (1954,1970e2010)"
Inglaterra,1(1966),–,–,2 (1990e2018)
Espanha,1(2010),–,–,1 (1950)
Países Baixos,–,"3(1974,1978e2010)",1 (2014),1 (1998)
Hungria,–,2(1938e1954),–,–
Tchéquia,–,2(1934e1962),–,–
Suécia,–,1(1958),2 (1950e1994),1 (1938)
Croácia,–,1(2018),2 (1998e2022),–
Polónia,–,–,2(1974e1982),–
Áustria,–,–,1(1954),1 (1934)
Portugal,–,–,1(1966),1 (2006)
Bélgica,–,–,1(2018),1 (1986)
Estados Unidos,–,–,1(1930),–
Chile,–,–,1(1962),–
Turquia,–,–,1(2002),–
Sérvia,–,–,–,2(1930e1962)
Rússia,–,–,–,1(1966)
Bulgária,–,–,–,1(1994)
Coreia do Sul,–,–,–,1(2002)
Marrocos,–,–,–,1(2022)
