posição,país,população,crescimento
1,Índia,1 429 921 746,+269.108.746
2,China,1 426 391 281,+87.778.313
3,Estados Unidos,339 987 103,+31.241.565
4,Indonésia,277 184 719,+33.168.546
5,Paquistão,240 215 932,+65.636.932
6,Nigéria,223 899 057,+62.946.204
7,Brasil,203 080 756,+12.348.062
8,Bangladesh,172 452 382,+10.231.620
9,Rússia,146  140  931,+5.267.284
10,México,134 127 189,+21.594.789
11,Etiópia,125 092 825,+42.268.093
12,Japão,124 127 899,-3.028.326
13,Filipinas,109 581 078,
14,Egito,102 334 404,
15,Vietname,97 338 579,
16,República Democrática do Congo,89 561 403,
17,Turquia,84 339 067,
18,Irã,83 992 949,
19,Alemanha,83 783 942,
20,Tailândia,69 799 978,
21,Reino Unido,69 505 718,
22,França,65 273 511,
23,Itália,60 461 826,
24,Tanzânia,59 734 218,
25,África do Sul,59 308 690,
26,Myanmar,54 409 800,
27,Quénia,53 771 296,
28,Coreia do Sul,51 269 185,
29,Colômbia,50 882 891,
30,Espanha,46 754 778,
31,Uganda,45 741 007,
32,Argentina,45 195 774,
33,Argélia,43 851 044,
34,Sudão,43 849 260,
35,Ucrânia,43 733 762,
36,Iraque,40 222 493,
37,Afeganistão,38 928 346,
38,Polónia,37 846 611,
39,Canadá,37 742 154,
40,Angola,36 996 710,
40,Marrocos,36 910 560,
41,Arábia Saudita,34 813 871,
42,Uzbequistão,33 469 203,
43,Peru,32 971 854,
45,Malásia,32 365 999,
46,Moçambique,31 255 435,
47,Gana,31 072 940,
48,Iémen,29 825 968,
49,Nepal,29 136 808,
50,Venezuela,28 435 940,
51,Madagascar,27 691 018,
52,Camarões,26 545 864,
53,Costa do Marfim,26 378 274,
54,Coreia do Norte,25 778 816,
55,Austrália,25 499 884,
56,Níger,24 206 644,
–,Taiwan,23 816 775,
57,Sri Lanka,21 413 249,
58,Burquina Fasso,20 903 273,
59,Mali,20 250 833,
60,Roménia,19 237 691,
61,Malawi,19 129 952,
62,Chile,19 116 201,
63,Cazaquistão,18 776 707,
64,Zâmbia,18 383 955,
65,Guatemala,17 915 568,
66,Equador,17 643 054,
67,Síria,17 500 657,
68,Países Baixos,17 134 872,
69,Senegal,16 743 927,
70,Camboja,16 718 965,
71,Chade,16 425 864,
72,Somália,15 893 222,
73,Zimbabwe,14 862 924,
74,Guiné,13 132 795,
75,Ruanda,12 952 218,
76,Benim,12 123 000,
77,Burundi,11 890 784,
78,Tunísia,11 818 619,
79,Bolívia,11 673 021,
80,Bélgica,11 589 623,
81,Haiti,11 402 528,
82,Cuba,11 326 616,
83,Sudão do Sul,11 193 725,
84,República Dominicana,10 847 910,
85,Grécia,10 768 477,
86,Chéquia,10 708 981,
87,Portugal,10 467 366,-227.376
88,Jordânia,10 203 134,
89,Azerbaijão,10 139 177,
90,Suécia,10 099 265,
91,Honduras,9 904 607,
92,Emirados Árabes Unidos,9 890 402,
93,Hungria,9 660 351,
94,Tajiquistão,9 537 645,
95,Bielorrússia,9 449 323,
96,Áustria,9 006 398,
97,Papua-Nova Guiné,8 947 024,
98,Israel,8 655 535,
99,Suíça,8 654 622,
100,Togo,8 278 724,
101,Serra Leoa,7 976 983,
–,Hong Kong,7 496 981,
102,Laos,7 275 560,
103,Bulgária,6 948 445,
104,Sérvia,6 926 705,
105,Líbia,6 871 292,
106,Líbano,6 825 445,
107,Nicarágua,6 624 554,
108,Quirguistão,6 524 195,
109,El Salvador,6 486 205,
110,Paraguai,6 109 644,
111,Turquemenistão,6 031 200,
112,Singapura,5 850 342,
113,Dinamarca,5 792 202,
114,Finlândia,5 540 720,
115,Congo,5 518 087,
116,Eslováquia,5 459 642,
117,Noruega,5 421 241,
118,Omã,5 106 626,
119,Palestina,5 101 414,
120,Costa Rica,5 094 118,
121,Libéria,5 057 681,
122,Irlanda,4 937 786,
123,República Centro-Africana,4 829 767,
124,Nova Zelândia,4 822 233,
125,Mauritânia,4 649 658,
126,Panamá,4 314 767,
127,Kuwait,4 270 571,
128,Croácia,4 105 267,
129,Geórgia,3 989 167,
130,Eritreia,3 546 421,
131,Uruguai,3 473 730,
132,Bósnia e Herzegovina,3 280 819,
133,Mongólia,3 278 290,
134,Arménia,2 963 243,
135,Jamaica,2 961 167,
136,Catar,2 881 053,
137,Albânia,2 877 797,
–,Porto Rico,2 860 853,
138,Lituânia,2 722 289,
139,Moldávia,2 640 438,
140,Namíbia,2 540 905,
141,Gâmbia,2 416 668,
142,Botswana,2 351 627,
143,Gabão,2 225 734,
144,Lesoto,2 142 249,
145,Macedônia do Norte,2 083 374,
146,Eslovénia,2 078 938,
147,Guiné-Bissau,1 968 001,
148,Letónia,1 886 198,
–,Kosovo,1 795 666,
149,Bahrein,1 701 575,
150,Guiné Equatorial,1 402 985,
151,Trinidad e Tobago,1 399 488,
152,Estónia,1 326 335,
153,Timor-Leste,1 318 445,
154,Maurícia,1 271 768,
155,Eswatini,1 160 164,
156,Djibouti,988 000,
157,Chipre,900 432,
158,Fiji,896 445,
–, (,895 312,
159,Comores,869 601,
160,Guiana,786 552,
161,Butão,771 608,
162,Ilhas Salomão,686 884,
–,Macau,649 335,
163,Montenegro,649 335,
164,Luxemburgo,625 978,
–,Saara Ocidental,597 339,
165,Suriname,586 632,
166,Cabo Verde,555 987,
167,Maldivas,540 544,
168,Malta,441 543,
–,Transnístria,469 000,
169,Brunei,437 479,
