Nome,Link,Preço
Fone de ouvido over-ear gamer Havit Gamer H2232D H2232D branco com luz  rgb LED,https://www.mercadolivre.com.br/fone-de-ouvido-over-ear-gamer-havit-gamer-h2232d-h2232d-branco-com-luz-rgb-led/p/MLB29693948#searchVariation%3DMLB29693948%26position%3D5%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$78,90"
Headset Gamer Mancer Twilight Rgb Drivers 50mm Cor Preto,https://www.mercadolivre.com.br/headset-gamer-mancer-twilight-rgb-drivers-50mm-cor-preto/p/MLB23174784#searchVariation%3DMLB23174784%26position%3D8%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$87,99"
Fone de ouvido Headset Gamer HAVIT H2002d P3 PS3/PS4/XBOX/PC Preto,https://www.mercadolivre.com.br/fone-de-ouvido-headset-gamer-havit-h2002d-p3-ps3ps4xboxpc-preto/p/MLB15345937#searchVariation%3DMLB15345937%26position%3D2%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$210,00"
Fone Headset Gamer C/ Luz Led P/ Celular Jogar Free Fire Cor Preto Cor da luz Rainbow,https://www.mercadolivre.com.br/fone-headset-gamer-c-luz-led-p-celular-jogar-free-fire-cor-preto-cor-da-luz-rainbow/p/MLB19819953#searchVariation%3DMLB19819953%26position%3D3%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$47,00"
"HAVIT Fone de Ouvido Headset Gamer FUXI-H3 Quad-Mode (com fio e sem fio, Wireless 2,4GHz, Bluetooth, Cabo USB-C, Cabo Auxiliar 3.5mm). Surround, Baixa Latência - Preto",https://www.mercadolivre.com.br/havit-fone-de-ouvido-headset-gamer-fuxi-h3-quad-mode-com-fio-e-sem-fio-wireless-24ghz-bluetooth-cabo-usb-c-cabo-auxiliar-35mm-surround-baixa-latncia-preto/p/MLB27166077#searchVariation%3DMLB27166077%26position%3D6%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$219,00"
Headset com fio H390 USB Preto Logitech,https://www.mercadolivre.com.br/headset-com-fio-h390-usb-preto-logitech/p/MLB6417063#searchVariation%3DMLB6417063%26position%3D1%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$210,00"
"Headset Estéreo H111 multidispositivos 3,5 mm Cinza Logitech",https://www.mercadolivre.com.br/headset-estereo-h111-multidispositivos-35-mm-cinza-logitech/p/MLB11754916#searchVariation%3DMLB11754916%26position%3D7%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$77,41"
Fone de ouvido over-ear gamer Havit Gamer H2002d H2002d vermelho,https://www.mercadolivre.com.br/fone-de-ouvido-over-ear-gamer-havit-gamer-h2002d-h2002d-vermelho/p/MLB15830186#searchVariation%3DMLB15830186%26position%3D18%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$199,98"
Headset Office P/ Computador Telefone C/ Conector Usb 5+,https://www.mercadolivre.com.br/headset-office-p-computador-telefone-c-conector-usb-5/p/MLB21364840#searchVariation%3DMLB21364840%26position%3D23%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D6eb7299e-ee8c-4ca4-ba85-847efebdb160,"R$109,90"
Fone De Ouvido Headset Gamer Rgb Led Pc Computador Vídeogame,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=5b9%2B7zQI1FaXfX4VGg7anjY5yrKoUsRmQgZzNp9EYrvL17EfuE5A7Zjn4CEFje35yBJJSF87U7mJKvFLdgP%2BMwpzMLwQADhplzxagsEtwWAXlLfntEOJVvRoyMFiPdMxFtyJelr6ODnc9EagvFSd6HS7hKdsTNCixqc6iAdC2IA3gVDHIKRXoIUnLHbG16qHaZ6HWFqBDQgt6OPdrB85lRy7lyG5a0j3HnwrMd4Lqj1PV8ihuVTM5dragPFxG7DReA5xOy0Xr4chYyHZV6JDPN01jL4mNXBCJGJ%2BtHXnEsqBtf81vO30cM%2BYQixdZNWtuzQYEBKpH3WkFmtDraiGruJ4gCfcaKH2H0L5RpiE5TSK2ps4196D9iB8%2B8wekDWZnsePEE%2Fe8IrzurWeQAzdIVs%2B7ESLJ%2FYKC9ZDiIvRg2zydoJPtAPy%2B0Cc%2Bk%2FbxQmvCkxMTat28cyELMybMLGrYlGHBY634IM1LLCyp7FN0AMbp4E1sQfRzKaBe%2FFtqYDSwYDo1LrZzQPNei%2BCRPLrhyJ2SOzygYSlbX5xA5kZWFSG5zFCCZm%2FhY2gYhS67o2OdHIFXq0BGgsTfc3uWjkWz9leN%2BJ8LFx%2Bhy8QavwmYZ37lWWZiJ%2FcITkbyqwulckD1653TK45n1v9CSSKxVwjQSMN%2FcBLpyKKvO8cJ8u9%2F%2FK2yG5ksk147377MrSvvdmnAlawt3%2B30jYUTedq4zN%2Fomj2JEXTPsoNsSYpGYCGzkqp7XwyMCbxiDeU5A%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fdiscard-bid-lt-min%2B45362%2Cmclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927&rb=x,"R$63,65"
